Eppchs,Batch_Size,NumberOfChannels,Filters,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
70,32,6,25,3,0.0005,0.0003292610418962165,0.9958982989002639, False
70,32,6,64,3,0.0005,0.0019043486598683552,0.9971739849035155, False
70,32,6,100,3,0.0005,0.0009709539485526726,0.9962478831518561, False
70,32,7,25,3,0.0005,0.0011517778719698519,0.9959664897117902, False
70,32,7,64,3,0.0005,0.0005330036700360342,0.996057344666993, False
70,32,7,100,3,0.0005,0.0011306794252824558,0.9975892805129564, False
70,32,8,25,3,0.0005,0.00045532730423571914,0.9967310652237422, False
70,32,8,64,3,0.0005,0.00019179633139759764,0.9966608869875666, True
70,32,8,100,3,0.0005,0.0008406521596385691,0.9969922727537509, False
70,32,2,25,3,0.001,0.002097161752224228,0.9545952321669143, False
70,32,2,64,3,0.001,0.0018321153802085869,0.9543919842289192, False
70,32,2,100,3,0.001,0.0015906437736515216,0.9559436380598596, False
70,32,3,25,3,0.001,0.0008120192250178409,0.9789068657187154, False
70,32,3,64,3,0.001,0.0014626233875410443,0.98200970864995, False
70,32,3,100,3,0.001,0.0007401471076733366,0.9812535676675977, False
70,32,4,25,3,0.001,0.00040933346698712476,0.9918041681089838, False
70,32,4,64,3,0.001,0.00107987116616109,0.992645883857674, False
70,32,4,100,3,0.001,0.0005837592395927481,0.9913674615296383, False
70,32,5,25,3,0.001,0.0006700091671756778,0.9930944184747819, False
70,32,5,64,3,0.001,0.0002642206655589402,0.9953443587915484, False
70,32,5,100,3,0.001,0.0012875961101445497,0.9971064172605529, False
70,32,6,25,3,0.001,0.0014716413066949586,0.9958745420650399, False
70,32,6,64,3,0.001,0.001101697314877658,0.9969197535567076, False
70,32,6,100,3,0.001,0.0019815798365205657,0.9969492978260498, False
70,32,7,25,3,0.001,0.003289931665350019,0.9949045513553969, False
70,32,7,64,3,0.001,0.0010858794033107113,0.9934964353097049, False
70,32,7,100,3,0.001,0.0023637556101628442,0.996494957121456, False
70,32,8,25,3,0.001,0.0010149858885283181,0.9950981789737839, False
70,32,8,64,3,0.001,0.000309222953542092,0.9960466687930734, False
70,32,8,100,3,0.001,0.0004262805539569635,0.9968336651345276, False
70,32,2,25,3,0.01,0.0015282585343895586,0.9572210511867494, False
70,32,2,64,3,0.01,0.0016280100184939378,0.9569356320815089, False
70,32,2,100,3,0.01,0.001634543694030901,0.9557957586473842, False
70,32,3,25,3,0.01,0.0008697474350789168,0.9781493444759723, False
