Model,InitialBudget,Risk_Factor,Smooth_Factor,Leverage,Final_Budget
CNN,200,0.4,4,500,148.35102558135975
CNN,200,0.4,5,50,177.58524894714367
CNN,200,0.4,5,100,177.10101127624523
CNN,200,0.4,5,150,176.0332298278811
CNN,200,0.4,5,200,174.70200538635288
CNN,200,0.4,5,250,172.8689575195317
CNN,200,0.4,5,300,169.9970722198492
CNN,200,0.4,5,350,166.89435958862367
CNN,200,0.4,5,400,163.13432693481514
CNN,200,0.4,5,450,158.84556770324787
CNN,200,0.4,5,500,153.70899200439555
CNN,200,0.4,6,50,183.7541023890187
CNN,200,0.4,6,100,183.35057099660335
CNN,200,0.4,6,150,182.4607531229664
CNN,200,0.4,6,200,181.35139942169272
CNN,200,0.4,6,250,179.82385953267502
CNN,200,0.4,6,300,177.43062178293943
CNN,200,0.4,6,350,174.8450279235848
CNN,200,0.4,6,400,171.7116673787443
CNN,200,0.4,6,450,168.1377013524382
CNN,200,0.4,6,500,163.85722160339455
CNN,200,0.4,7,50,186.4447934286939
CNN,200,0.4,7,100,186.09890937805204
CNN,200,0.4,7,150,185.33620834350614
CNN,200,0.4,7,200,184.38533374241456
CNN,200,0.4,7,250,183.0760138375424
CNN,200,0.4,7,300,181.0246671949123
CNN,200,0.4,7,350,178.80844388689417
CNN,200,0.4,7,400,176.12270627703117
CNN,200,0.4,7,450,173.05930682591185
CNN,200,0.4,7,500,169.39032418387455
CNN,200,0.4,8,50,189.7753834724426
CNN,200,0.4,8,100,189.472734928131
CNN,200,0.4,8,150,188.80537152290333
CNN,200,0.4,8,200,187.97335624694819
CNN,200,0.4,8,250,186.82770133018496
CNN,200,0.4,8,300,185.03277301788347
CNN,200,0.4,8,350,183.09357762336765
CNN,200,0.4,8,400,180.74355721473745
CNN,200,0.4,8,450,178.06308269500795
CNN,200,0.4,8,500,174.8527228832252
CNN,200,0.4,9,50,191.71925120883512
CNN,200,0.4,9,100,191.45023028055815
CNN,200,0.4,9,150,190.85701836480027
CNN,200,0.4,9,200,190.11744923061795
CNN,200,0.4,9,250,189.09908930460634
CNN,200,0.4,9,300,187.50359747144947
CNN,200,0.4,9,350,185.77986823188
CNN,200,0.4,9,400,183.69096120198643
CNN,200,0.4,9,450,181.30831718444924
CNN,200,0.4,9,500,178.4546640184203
CNN,200,0.4,10,50,193.79478454589764
CNN,200,0.4,10,100,193.5526657104483
CNN,200,0.4,10,150,193.018774986266
CNN,200,0.4,10,200,192.35316276550157
CNN,200,0.4,10,250,191.43663883209052
CNN,200,0.4,10,300,190.000696182249
CNN,200,0.4,10,350,188.44933986663585
CNN,200,0.4,10,400,186.56932353973133
CNN,200,0.4,10,450,184.42494392394724
CNN,200,0.4,10,500,181.85665607452057
CNN,200,0.5,1,50,144.01335716247561
CNN,200,0.5,1,100,138.0397200584412
CNN,200,0.5,1,150,125.83292722702029
CNN,200,0.5,1,200,118.4467792510986
CNN,200,0.5,1,250,110.41690111160284
CNN,200,0.5,1,300,103.24544906616214
CNN,200,0.5,1,350,95.09981870651245
CNN,200,0.5,1,400,107.80770778655997
CNN,200,0.5,1,450,119.94684934616072
CNN,200,0.5,1,500,133.13336372375454
CNN,200,0.5,2,50,142.12675094604492
CNN,200,0.5,2,100,140.6135082244873
CNN,200,0.5,2,150,137.276691198349
CNN,200,0.5,2,200,133.116614818573
CNN,200,0.5,2,250,128.12523245811462
CNN,200,0.5,2,300,121.07972502708435
CNN,200,0.5,2,350,112.38194704055786
CNN,200,0.5,2,400,101.03474259376526
CNN,200,0.5,2,450,86.02027297019964
CNN,200,0.5,2,500,68.9956963062287
CNN,200,0.5,3,50,169.88079945246432
CNN,200,0.5,3,100,168.87197097142598
CNN,200,0.5,3,150,166.64742628733393
CNN,200,0.5,3,200,163.87404203415008
CNN,200,0.5,3,250,161.591919263205
CNN,200,0.5,3,300,157.94037977854532
CNN,200,0.5,3,350,153.18732659022157
CNN,200,0.5,3,400,146.66798909505383
CNN,200,0.5,3,450,137.70380814870393
CNN,200,0.5,3,500,127.3995558420838
CNN,200,0.5,4,50,173.26549887657166
CNN,200,0.5,4,100,172.50887751579285
CNN,200,0.5,4,150,170.8404690027237
CNN,200,0.5,4,200,168.7604308128357
CNN,200,0.5,4,250,165.89629352092743
CNN,200,0.5,4,300,161.40897274017334
CNN,200,0.5,4,350,156.56098425388336
CNN,200,0.5,4,400,150.68593323230743
CNN,200,0.5,4,450,143.9847469329834
CNN,200,0.5,4,500,135.9588474035263
CNN,200,0.5,5,50,184.0301275253303
CNN,200,0.5,5,100,183.4248304367073
CNN,200,0.5,5,150,182.090103626252
CNN,200,0.5,5,200,180.42607307434156
CNN,200,0.5,5,250,178.1347632408149
CNN,200,0.5,5,300,174.5449066162116
CNN,200,0.5,5,350,170.66651582717952
CNN,200,0.5,5,400,165.9664750099187
CNN,200,0.5,5,450,160.60552597045944
CNN,200,0.5,5,500,154.1848063468937
CNN,200,0.5,6,50,179.69262798627165
CNN,200,0.5,6,100,179.18821374575236
CNN,200,0.5,6,150,178.0759414037061
CNN,200,0.5,6,200,176.68924927711396
CNN,200,0.5,6,250,174.77982441584163
CNN,200,0.5,6,300,171.7882772286721
CNN,200,0.5,6,350,168.55628490447862
CNN,200,0.5,6,400,164.63958422342787
CNN,200,0.5,6,450,160.17212669054499
CNN,200,0.5,6,500,154.82152700423995
CNN,200,0.5,7,50,185.2005328450872
CNN,200,0.5,7,100,184.76817778178508
CNN,200,0.5,7,150,183.81480148860274
CNN,200,0.5,7,200,182.62620823723807
CNN,200,0.5,7,250,180.9895583561476
CNN,200,0.5,7,300,178.42537505285952
CNN,200,0.5,7,350,175.65509591783672
CNN,200,0.5,7,400,172.29792390550762
CNN,200,0.5,7,450,168.46867459160825
CNN,200,0.5,7,500,163.88244628906136
CNN,200,0.5,8,50,189.3314614892006
CNN,200,0.5,8,100,188.9531508088112
CNN,200,0.5,8,150,188.1189465522766
CNN,200,0.5,8,200,187.0789274573326
CNN,200,0.5,8,250,185.64685881137848
CNN,200,0.5,8,300,183.40319842100143
CNN,200,0.5,8,350,180.97920417785645
CNN,200,0.5,8,400,178.04167866706848
CNN,200,0.5,8,450,174.69108551740646
CNN,200,0.5,8,500,170.67813575267792
CNN,200,0.5,9,50,190.4573029941985
CNN,200,0.5,9,100,190.12102683385226
CNN,200,0.5,9,150,189.37951193915484
CNN,200,0.5,9,200,188.4550505214269
CNN,200,0.5,9,250,187.18210061391207
CNN,200,0.5,9,300,185.18773582246584
CNN,200,0.5,9,350,183.0330742730038
CNN,200,0.5,9,400,180.42194048563692
CNN,200,0.5,9,450,177.44363546371528
CNN,200,0.5,9,500,173.87656900617907
CNN,200,0.5,10,50,193.04776191711457
CNN,200,0.5,10,100,192.74511337280296
CNN,200,0.5,10,150,192.0777499675753
CNN,200,0.5,10,200,191.24573469162016
CNN,200,0.5,10,250,190.10007977485694
CNN,200,0.5,10,300,188.30515146255544
CNN,200,0.5,10,350,186.36595606803962
CNN,200,0.5,10,400,184.01593565940942
CNN,200,0.5,10,450,181.33546113967992
CNN,200,0.5,10,500,178.12510132789717
CNN,200,0.6,1,50,103.17397117614969
CNN,200,0.6,1,100,96.46987915039286
CNN,200,0.6,1,150,85.80033779144507
CNN,200,0.6,1,200,68.77217292785876
CNN,200,0.6,1,250,44.26422119140862
CNN,200,0.6,1,300,25.541043281557542
CNN,200,0.6,1,350,6.045389175417419
CNN,200,0.6,1,400,0.007856540022313268
CNN,200,0.6,1,450,45.37562217712399
CNN,200,0.6,1,500,28.87982826232892
CNN,200,0.6,2,50,144.74989175796648
CNN,200,0.6,2,100,142.93400049209723
CNN,200,0.6,2,150,143.50920915603777
CNN,200,0.6,2,200,141.6194677352921
CNN,200,0.6,2,250,137.74700164795078
CNN,200,0.6,2,300,130.69522380829025
CNN,200,0.6,2,350,119.24272775650185
CNN,200,0.6,2,400,105.37810325622702
CNN,200,0.6,2,450,87.62481212616127
CNN,200,0.6,2,500,72.5801229476945
CNN,200,0.6,3,50,169.49281692504837
CNN,200,0.6,3,100,168.28222274780234
CNN,200,0.6,3,150,165.6127691268917
CNN,200,0.6,3,200,162.28470802307083
CNN,200,0.6,3,250,159.5461606979364
CNN,200,0.6,3,300,155.16431331634442
CNN,200,0.6,3,350,149.46064949035554
CNN,200,0.6,3,400,141.63744449615376
CNN,200,0.6,3,450,130.88042736053364
CNN,200,0.6,3,500,118.51532459258937
CNN,200,0.6,4,50,177.20517516136164
CNN,200,0.6,4,100,176.297229528427
CNN,200,0.6,4,150,174.29513931274403
CNN,200,0.6,4,200,171.79909348487848
CNN,200,0.6,4,250,170.68610191345215
CNN,200,0.6,4,300,168.34063529968273
CNN,200,0.6,4,350,165.00380635261553
CNN,200,0.6,4,400,160.0773215293886
CNN,200,0.6,4,450,152.950477600098
CNN,200,0.6,4,500,144.6175694465643
CNN,200,0.6,5,50,177.29393482208403
CNN,200,0.6,5,100,176.56757831573648
CNN,200,0.6,5,150,174.9659061431902
CNN,200,0.6,5,200,172.9690694808978
CNN,200,0.6,5,250,170.21949768066585
CNN,200,0.6,5,300,165.91166973114193
CNN,200,0.6,5,350,161.25760078430355
CNN,200,0.6,5,400,155.6175518035906
CNN,200,0.6,5,450,149.18441295623958
CNN,200,0.6,5,500,141.47954940796077
CNN,200,0.6,6,50,186.40481233596924
CNN,200,0.6,6,100,185.79951524734625
CNN,200,0.6,6,150,184.46478843689093
CNN,200,0.6,6,200,182.8007578849805
CNN,200,0.6,6,250,180.50944805145383
CNN,200,0.6,6,300,176.91959142685053
CNN,200,0.6,6,350,173.04120063781846
CNN,200,0.6,6,400,168.34115982055764
CNN,200,0.6,6,450,162.98021078109838
CNN,200,0.6,6,500,156.55949115753265
CNN,200,0.6,7,50,182.72129126957478
CNN,200,0.6,7,100,182.20246519361203
CNN,200,0.6,7,150,181.05841364179295
CNN,200,0.6,7,200,179.63210174015515
CNN,200,0.6,7,250,177.66812188284635
CNN,200,0.6,7,300,174.59110191890053
CNN,200,0.6,7,350,171.266766956873
CNN,200,0.6,7,400,167.23816054207802
CNN,200,0.6,7,450,162.64306136539855
CNN,200,0.6,7,500,157.1395874023422
CNN,200,0.6,8,50,183.8425606489184
CNN,200,0.6,8,100,183.3885878324512
CNN,200,0.6,8,150,182.38754272460972
CNN,200,0.6,8,200,181.13951981067686
