Epochs,Batch_Size,Filters,Kernel,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
100,32,16 64 256 1024,5,0.0005,0.004385390799571178,0.9413951663217874,False
100,32,16 64 256 1024,5,0.001,0.002199429213478779,0.9621499874967929,False
100,32,16 64 256 1024,5,0.005,0.0005205778687095185,0.9938458588022386,False
100,32,16 64 256 1024,5,0.01,0.0003735316506002336,0.9943947807316866,False
100,32,16 64 256 1024,5,0.1,0.003607186080026041,0.9550657116756861,False
100,32,16 64 256 1024,7,0.0005,0.008183658322564614,0.7970889425182032,False
100,32,16 64 256 1024,7,0.001,0.0006134512439303244,0.9905216456861201,False
100,32,16 64 256 1024,7,0.005,0.0008745847212076912,0.9821216368419167,False
100,32,16 64 256 1024,7,0.01,0.0008566611657066021,0.9777042748874671,False
100,32,16 64 256 1024,7,0.1,0.0015553540546094514,0.9733155438400571,False
100,32,32 128 512 2048,2,0.0005,0.004133103968182131,0.9004993832581688,False
100,32,32 128 512 2048,2,0.001,0.001490031811383312,0.9660565034956001,False
100,32,32 128 512 2048,2,0.005,0.00037010451174214194,0.9939874576745993,False
100,32,32 128 512 2048,2,0.01,0.0008655947056668897,0.9780479859275991,False
100,32,32 128 512 2048,2,0.1,0.0004256142284634345,0.9898064741939496,False
100,32,32 128 512 2048,3,0.0005,0.007163168679680902,0.8674769334700569,False
100,32,32 128 512 2048,3,0.001,0.019656284742168028,0.8919753599169254,False
100,32,32 128 512 2048,3,0.005,0.00026514008392316434,0.9935840439408927,False
100,32,32 128 512 2048,3,0.01,0.0005265494154488241,0.9871449355468314,False
100,32,32 128 512 2048,3,0.1,0.0006522104498910933,0.985591869873841,False
100,32,32 128 512 2048,5,0.0005,0.008551497751131043,0.9190602674068656,False
100,32,32 128 512 2048,5,0.001,0.0013305132913246564,0.9799271734786359,False
100,32,32 128 512 2048,5,0.005,0.0008975628033951191,0.9921375350493141,False
100,32,32 128 512 2048,5,0.01,0.0004583497419966825,0.9898985232256676,False
100,32,32 128 512 2048,5,0.1,0.0003743242379560404,0.9923009861906209,False
100,32,32 128 512 2048,7,0.0005,0.019437859341695906,0.4138057469881328,False
100,32,32 128 512 2048,7,0.001,0.003472220937296807,0.9205268784907854,False
100,32,32 128 512 2048,7,0.005,0.0002835397485319862,0.9925217073662327,False
100,32,32 128 512 2048,7,0.01,0.0005623888027858275,0.9883210279380591,False
100,32,32 128 512 2048,7,0.1,0.0010064592527202641,0.9752786568655122,False
100,32,64 256 1024 4096,2,0.0005,0.003373986066818743,0.9379121664973105,False
100,32,64 256 1024 4096,2,0.001,0.0009629359947983826,0.9786955765263222,False
100,32,64 256 1024 4096,2,0.005,0.00037670095723831855,0.9945477128822796,False
100,32,64 256 1024 4096,2,0.01,0.00036172667786709767,0.9910564556910746,False
100,32,64 256 1024 4096,2,0.1,0.0005341358171691796,0.9861567917675775,False
100,32,64 256 1024 4096,3,0.0005,0.004112201326722932,0.9587489173821244,False
100,32,64 256 1024 4096,3,0.001,0.001643575094819559,0.975709029828076,False
100,32,64 256 1024 4096,3,0.005,0.0013812255448932367,0.9853998689305973,False
100,32,64 256 1024 4096,3,0.01,0.0006365224212764587,0.9835137864213068,False
100,32,64 256 1024 4096,3,0.1,0.0013361904254981683,0.9681558524832663,False
100,32,64 256 1024 4096,5,0.0005,0.011363151156885801,0.9355195132822874,False
100,32,64 256 1024 4096,5,0.001,0.005488295667758918,0.9483642905747542,False

